Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,26,6,816,9.1,3,3,6,3,0,0,3,0,,,,,,,,0.33,0.33,0.66,0.33,0.66,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,40,40,3557,39.5,8,7,15,8,0,0,10,0,,,,,,,,0.20,0.18,0.38,0.20,0.38,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,33,30,2741,30.5,3,6,9,3,0,0,6,0,,,,,,,,0.10,0.20,0.30,0.10,0.30,,,,,,Lucas Vázquez,DF
2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,25,10,1238,13.8,4,6,10,4,0,0,4,0,,,,,,,,0.29,0.44,0.73,0.29,0.73,,,,,,Lucas Vázquez,DF
2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,33,12,1403,15.6,2,7,9,2,0,0,4,0,,,,,,,,0.13,0.45,0.58,0.13,0.58,,,,,,Lucas Vázquez,DF
2017-2018,26,Real Madrid,es ESP,1. La Liga,3rd,33,16,1679,18.7,4,7,11,4,0,0,3,0,4.8,4.8,5.8,10.6,67,94,250,0.21,0.38,0.59,0.21,0.59,0.26,0.31,0.57,0.26,0.57,Lucas Vázquez,DF
2018-2019,27,Real Madrid,es ESP,1. La Liga,3rd,31,15,1510,16.8,1,3,4,1,0,0,6,1,2.6,2.6,4.7,7.3,72,69,210,0.06,0.18,0.24,0.06,0.24,0.15,0.28,0.43,0.15,0.43,Lucas Vázquez,DF
2019-2020,28,Real Madrid,es ESP,1. La Liga,1st,18,8,848,9.4,2,1,3,2,0,0,1,0,1.4,1.4,1.6,3.0,28,39,125,0.21,0.11,0.32,0.21,0.32,0.14,0.17,0.32,0.14,0.32,Lucas Vázquez,DF
2020-2021,29,Real Madrid,es ESP,1. La Liga,2nd,24,21,1848,20.5,2,5,7,2,0,0,3,0,1.8,1.8,4.1,5.9,51,97,201,0.10,0.24,0.34,0.10,0.34,0.09,0.20,0.29,0.09,0.29,Lucas Vázquez,DF
2021-2022,30,Real Madrid,es ESP,1. La Liga,1st,29,20,1833,20.4,3,0,3,3,0,0,3,0,2.2,2.2,2.5,4.7,58,108,156,0.15,0.00,0.15,0.15,0.15,0.11,0.12,0.23,0.11,0.23,Lucas Vázquez,DF
