Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2016-2017,20,Chelsea,eng ENG,1. Premier League,1st,0.4,,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2017-2018,21,Crystal Palace,eng ENG,1. Premier League,11th,20.8,73,3.51,48,0,12,3,8,2,8,0.38,5,0,1,1,1,0,Ruben Loftus-Cheek,MF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,11.1,49,4.42,37,0,6,2,2,2,5,0.45,5,0,0,0,0,0,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.0,,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,2.3,5,2.16,5,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Ruben Loftus-Cheek,MF
2020-2021,24,Fulham,eng ENG,1. Premier League,18th,21.2,62,2.92,36,0,9,4,10,3,0,0.00,0,0,0,0,0,0,Ruben Loftus-Cheek,MF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,0.7,1,1.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ruben Loftus-Cheek,MF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,15.5,56,3.62,44,0,3,4,3,2,6,0.39,3,0,0,2,0,1,Ruben Loftus-Cheek,MF
2022-2023,26,Chelsea,eng ENG,1. Premier League,12th,17.1,36,2.11,31,0,3,1,1,0,4,0.23,4,0,0,0,0,0,Ruben Loftus-Cheek,MF
2023-2024,27,Milan,it ITA,1. Serie A,2nd,23.0,51,2.22,45,0,1,3,2,0,6,0.26,3,0,1,1,1,0,Ruben Loftus-Cheek,MF
2024-2025,28,Milan,it ITA,1. Serie A,8th,7.6,27,3.57,21,0,2,1,3,0,2,0.26,1,0,0,0,1,0,Ruben Loftus-Cheek,MF
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.6,,,,,,,,,,,,,,,,,Tammy Abraham,FW
2016-2017,18,Bristol City,eng ENG,2. Championship,17th,37.9,,,,,,,,,,,,,,,,,Tammy Abraham,FW
2017-2018,19,Swansea City,eng ENG,1. Premier League,18th,19.2,42,2.19,19,0,11,5,5,2,2,0.10,1,0,0,1,0,0,Tammy Abraham,FW
2018-2019,20,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,1.0,,,,,,,,,,,,,,,,,Tammy Abraham,FW
2018-2019,20,Aston Villa,eng ENG,2. Championship,5th,34.9,67,1.92,44,0,7,8,7,1,10,0.29,4,0,2,2,2,0,Tammy Abraham,FW
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0,Tammy Abraham,FW
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,Tammy Abraham,FW
2021-2022,23,Roma,it ITA,1. Serie A,6th,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,Tammy Abraham,FW
2022-2023,24,Roma,it ITA,1. Serie A,6th,24.3,70,2.88,46,0,7,10,7,0,9,0.37,4,0,1,3,1,0,Tammy Abraham,FW
2023-2024,25,Roma,it ITA,1. Serie A,6th,2.7,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0,Tammy Abraham,FW
2024-2025,26,Roma,it ITA,1. Serie A,10th,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Tammy Abraham,FW
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.3,18,2.87,13,0,0,4,1,0,3,0.48,1,0,0,1,1,0,Tammy Abraham,FW
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.3,,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2016-2017,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,11.6,,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2016-2017,18,Brighton,eng ENG,2. Championship,2nd,4.4,,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2017-2018,19,Hull City,eng ENG,2. Championship,18th,22.9,,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2018-2019,20,Derby County,eng ENG,2. Championship,6th,42.1,39,0.93,34,0,2,2,0,1,2,0.05,2,0,0,0,0,0,Fikayo Tomori,DF
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,14.3,20,1.39,19,0,0,1,0,0,2,0.14,2,0,0,0,0,0,Fikayo Tomori,DF
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Fikayo Tomori,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,16.3,5,0.31,5,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Fikayo Tomori,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.2,19,0.63,19,0,0,0,0,0,3,0.10,3,0,0,0,0,0,Fikayo Tomori,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.7,23,0.75,19,2,0,0,1,1,2,0.07,2,0,0,0,0,0,Fikayo Tomori,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,23.6,12,0.51,10,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Fikayo Tomori,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.2,4,0.65,4,0,0,0,0,0,2,0.32,2,0,0,0,0,0,Fikayo Tomori,DF
2021-2022,18,Hellas Verona,it ITA,1. Serie A,9th,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Filippo Terracciano,"DF,MF"
2022-2023,19,Hellas Verona,it ITA,1. Serie A,18th,9.1,14,1.53,9,2,2,1,0,0,2,0.22,2,0,0,0,0,0,Filippo Terracciano,"DF,MF"
2023-2024,20,Hellas Verona,it ITA,1. Serie A,13th,14.4,36,2.50,20,9,3,3,1,0,4,0.28,2,1,0,1,0,0,Filippo Terracciano,"DF,MF"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Filippo Terracciano,"DF,MF"
2024-2025,21,Milan,it ITA,1. Serie A,8th,5.5,4,0.73,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Filippo Terracciano,"DF,MF"
2020-2021,17,Valencia,es ESP,1. La Liga,13th,17.0,27,1.59,19,1,5,1,1,0,0,0.00,0,0,0,0,0,0,Yunus Musah,"MF,FW"
2021-2022,18,Valencia,es ESP,1. La Liga,9th,14.0,33,2.36,23,2,7,0,1,0,4,0.29,3,1,0,0,0,0,Yunus Musah,"MF,FW"
2022-2023,19,Valencia,es ESP,1. La Liga,16th,23.4,47,2.01,30,2,6,2,6,1,3,0.13,3,0,0,0,0,0,Yunus Musah,"MF,FW"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,16.4,38,2.32,27,0,5,4,1,1,2,0.12,2,0,0,0,0,0,Yunus Musah,"MF,FW"
2024-2025,21,Milan,it ITA,1. Serie A,8th,6.0,16,2.65,12,0,2,2,0,0,1,0.17,1,0,0,0,0,0,Yunus Musah,"MF,FW"
2018-2019,18,Basel,ch SUI,1. Super Lg,2nd,16.3,,,,,,,,,,,,,,,,,Noah Okafor,FW
2019-2020,19,Basel,ch SUI,1. Super Lg,3rd,7.0,,,,,,,,,,,,,,,,,Noah Okafor,FW
2019-2020,19,RB Salzburg,at AUT,1. Bundesliga,1st,5.2,,,,,,,,,,,,,,,,,Noah Okafor,FW
2020-2021,20,RB Salzburg,at AUT,1. Bundesliga,1st,9.9,,,,,,,,,,,,,,,,,Noah Okafor,FW
2021-2022,21,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,,,Noah Okafor,FW
2022-2023,22,RB Salzburg,at AUT,1. Bundesliga,1st,11.1,,,,,,,,,,,,,,,,,Noah Okafor,FW
2023-2024,23,Milan,it ITA,1. Serie A,2nd,9.9,18,1.83,11,0,4,2,0,1,4,0.41,3,0,0,1,0,0,Noah Okafor,FW
2024-2025,24,Milan,it ITA,1. Serie A,8th,4.6,11,2.39,9,0,2,0,0,0,2,0.43,2,0,0,0,0,0,Noah Okafor,FW
