Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2021-2022,18,Valencia,es ESP,1. La Liga,9th,14.0,23,13,8,8,7,6,20,30.0,14,19,1,18,14,37,11,0,Yunus Musah,"MF,FW"
2022-2023,19,Valencia,es ESP,1. La Liga,16th,23.4,48,35,17,23,8,20,30,66.7,10,20,1,19,11,59,16,2,Yunus Musah,"MF,FW"
2023-2024,20,Milan,it ITA,1. Serie A,2nd,16.4,25,14,15,6,4,8,15,53.3,7,18,4,14,10,35,16,1,Yunus Musah,"MF,FW"
2024-2025,21,Milan,it ITA,1. Serie A,8th,6.0,11,10,5,4,2,3,4,75.0,1,4,1,3,4,15,3,1,Yunus Musah,"MF,FW"
2018-2019,18,Basel,ch SUI,1. Super Lg,2nd,16.3,,,,,,,,,,,,,,,,,Noah Okafor,FW
2019-2020,19,Basel,ch SUI,1. Super Lg,3rd,7.0,,7,,,,,,,,,,,1,,,,Noah Okafor,FW
2019-2020,19,RB Salzburg,at AUT,1. Bundesliga,1st,5.2,,4,,,,,,,,,,,1,,,,Noah Okafor,FW
2020-2021,20,RB Salzburg,at AUT,1. Bundesliga,1st,9.9,,10,,,,,,,,,,,7,,,,Noah Okafor,FW
2021-2022,21,RB Salzburg,at AUT,1. Bundesliga,1st,10.6,,8,,,,,,,,,,,1,,,,Noah Okafor,FW
2022-2023,22,RB Salzburg,at AUT,1. Bundesliga,1st,11.1,,2,,,,,,,,,,,2,,,,Noah Okafor,FW
2023-2024,23,Milan,it ITA,1. Serie A,2nd,9.9,6,4,1,4,1,3,10,30.0,7,8,1,7,0,6,10,0,Noah Okafor,FW
2024-2025,24,Milan,it ITA,1. Serie A,8th,4.6,2,1,0,0,2,0,1,0.0,1,1,0,1,2,4,1,0,Noah Okafor,FW
2023-2024,18,Milan,it ITA,1. Serie A,2nd,0.8,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,4,0,Alejandro Jiménez,"DF,FW"
2024-2025,19,Milan,it ITA,1. Serie A,8th,3.0,4,3,2,1,1,3,4,75.0,1,4,0,4,2,6,3,0,Alejandro Jiménez,"DF,FW"
2014-2015,17,Milan,it ITA,1. Serie A,10th,0.1,,,,,,,,,,,,,,,,,Davide Calabria,"DF,FW"
