Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2020-2021,24,Fulham,eng ENG,1. Premier League,18th,21.2,722,714,6,3,2,0,9,2,1,0,0,0,578,2,20,Ruben Loftus-Cheek,MF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,0.7,17,17,0,0,0,0,0,0,0,0,0,0,11,0,1,Ruben Loftus-Cheek,MF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,15.5,981,956,24,10,5,1,7,14,0,0,0,0,876,1,7,Ruben Loftus-Cheek,MF
2022-2023,26,Chelsea,eng ENG,1. Premier League,12th,17.1,907,858,44,11,1,6,19,32,0,0,0,0,782,5,20,Ruben Loftus-Cheek,MF
2023-2024,27,Milan,it ITA,1. Serie A,2nd,23.0,733,724,7,1,1,1,13,1,0,0,0,0,619,2,8,Ruben Loftus-Cheek,MF
2024-2025,28,Milan,it ITA,1. Serie A,8th,7.6,283,280,3,3,1,1,5,0,0,0,0,0,251,0,2,Ruben Loftus-Cheek,MF
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.6,,,,,,,,,,,,,,,,Tammy Abraham,FW
2016-2017,18,Bristol City,eng ENG,2. Championship,17th,37.9,,,,,,,0,,,,,,,,,Tammy Abraham,FW
2017-2018,19,Swansea City,eng ENG,1. Premier League,18th,19.2,314,286,28,0,2,1,13,1,0,0,0,0,206,0,6,Tammy Abraham,FW
2018-2019,20,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,1.0,,,,,,,,,,,,,,,,Tammy Abraham,FW
2018-2019,20,Aston Villa,eng ENG,2. Championship,5th,34.9,654,614,39,6,4,5,18,1,0,0,0,0,445,1,27,Tammy Abraham,FW
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24,Tammy Abraham,FW
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9,Tammy Abraham,FW
2021-2022,23,Roma,it ITA,1. Serie A,6th,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20,Tammy Abraham,FW
2022-2023,24,Roma,it ITA,1. Serie A,6th,24.3,513,475,35,2,4,3,11,1,0,0,0,0,342,3,8,Tammy Abraham,FW
2023-2024,25,Roma,it ITA,1. Serie A,6th,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1,Tammy Abraham,FW
2024-2025,26,Roma,it ITA,1. Serie A,10th,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Tammy Abraham,FW
2024-2025,26,Milan,it ITA,1. Serie A,8th,6.3,92,82,10,0,1,0,2,0,0,0,0,0,67,0,3,Tammy Abraham,FW
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.3,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2016-2017,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,11.6,,,,,,,,,,,,,,,,Fikayo Tomori,DF
2016-2017,18,Brighton,eng ENG,2. Championship,2nd,4.4,,,,,,,0,,,,,,,,,Fikayo Tomori,DF
2017-2018,19,Hull City,eng ENG,2. Championship,18th,22.9,,,,,,,44,,,,,,,,,Fikayo Tomori,DF
2018-2019,20,Derby County,eng ENG,2. Championship,6th,42.1,2562,2476,81,48,2,28,6,33,0,0,0,0,2118,5,23,Fikayo Tomori,DF
2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,14.3,1167,1147,20,8,3,4,4,12,0,0,0,0,1019,0,9,Fikayo Tomori,DF
2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,0.5,29,28,1,1,0,0,0,0,0,0,0,0,28,0,0,Fikayo Tomori,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,16.3,918,872,42,23,0,5,1,2,0,0,0,0,810,4,7,Fikayo Tomori,DF
