Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Player
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,14,6,5,7,2,5,18,27.8,13,5,1,4,4,18,1,0,Matches,Dani Olmo
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,15,9,1,10,4,6,14,42.9,8,15,0,15,6,21,6,0,Matches,Dani Olmo
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,26,18,14,8,4,10,22,45.5,12,7,0,7,13,39,12,1,Matches,Dani Olmo
2024-2025,26,Barcelona,es ESP,1. La Liga,1st,5.9,8,5,4,2,2,2,7,28.6,5,2,2,0,1,9,3,0,Matches,Dani Olmo
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,137.0,106,66,35,50,21,28,97,28.9,69,51,4,47,41,147,49,1,,Dani Olmo
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Dani Olmo
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,,0,,,,,,,,,,,0,0,,,,Dani Olmo
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,98,61,31,48,19,26,90,28.9,64,49,2,47,40,138,46,1,,Dani Olmo
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,5.9,8,5,4,2,2,2,7,28.6,5,2,2,0,1,9,3,0,,Dani Olmo
,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,,0,,,,,,,,,,,0,0,,,,Dani Olmo
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,98,61,31,48,19,26,90,28.9,64,49,2,47,40,138,46,1,,Dani Olmo
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,5.9,8,5,4,2,2,2,7,28.6,5,2,2,0,1,9,3,0,,Dani Olmo
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,33.8,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34.0,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,6.0,,0,,,,,,,,,,,0,,,,Matches,Marc-André ter Stegen
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36.0,,0,,,,,,,,,,,2,,,,Matches,Marc-André ter Stegen
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37.0,1,0,1,0,0,1,3,33.3,2,1,0,1,4,5,12,1,Matches,Marc-André ter Stegen
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35.0,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,5,2,Matches,Marc-André ter Stegen
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36.0,2,2,2,0,0,2,3,66.7,1,0,0,0,2,4,17,6,Matches,Marc-André ter Stegen
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,12,2,Matches,Marc-André ter Stegen
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,13,5,Matches,Marc-André ter Stegen
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,37.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,3,Matches,Marc-André ter Stegen
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3,Matches,Marc-André ter Stegen
2024-2025,32,Barcelona,es ESP,1. La Liga,1st,5.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,2,Matches,Marc-André ter Stegen
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,394.6,3,2,3,0,0,3,13,23.1,10,1,0,1,12,13,71,24,,Marc-André ter Stegen
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Marc-André ter Stegen
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,286.7,3,2,3,0,0,3,13,23.1,10,1,0,1,12,13,71,24,,Marc-André ter Stegen
