Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,28.3,2,0,0,0,2,0,0,0,0,0,0,0,60,5,0,100.0,,Iñaki Peña
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Iñaki Peña
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,22.3,1,0,0,0,1,0,0,0,0,0,0,0,60,5,0,100.0,,Iñaki Peña
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,1,0,0,0,1,0,0,0,0,,,0,,,,,,Iñaki Peña
,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,22.3,1,0,0,0,1,0,0,0,0,0,0,0,60,5,0,100.0,,Iñaki Peña
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6.0,1,0,0,0,1,0,0,0,0,,,0,,,,,,Iñaki Peña
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,0,0,,,,,,,,,,,,,,,Matches,Dani Olmo
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,0,0,,,,,,,,,,,,,,,Matches,Dani Olmo
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,2,0,0,,0,0,0,0,0,0,0,0,,,,,Matches,Dani Olmo
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,Matches,Dani Olmo
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,4,0,0,,,,,,,,,0,,,,,Matches,Dani Olmo
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,1,0,0,,,,,,,,,0,,,,,Matches,Dani Olmo
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,1,0,0,10,20,0,17,4,14,0,0,0,26,14,14,50.0,Matches,Dani Olmo
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,1,0,0,20,38,2,24,13,14,1,0,0,146,25,25,50.0,Matches,Dani Olmo
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,2,0,0,4,22,1,9,4,6,0,0,0,62,3,10,23.1,Matches,Dani Olmo
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,2,0,0,17,40,1,11,6,9,0,0,0,84,8,17,32.0,Matches,Dani Olmo
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,0,0,0,15,17,1,21,13,18,0,0,0,75,11,19,36.7,Matches,Dani Olmo
2024-2025,26,Barcelona,es ESP,1. La Liga,1st,5.9,0,0,0,9,8,1,10,1,5,0,0,0,24,5,2,71.4,Matches,Dani Olmo
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,137.0,14,0,0,75,145,6,92,41,66,1,0,0,417,66,87,43.1,,Dani Olmo
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Dani Olmo
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,Dani Olmo
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,6,0,0,66,137,5,82,40,61,1,0,0,393,61,85,41.8,,Dani Olmo
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,5.9,0,0,0,9,8,1,10,1,5,0,0,0,24,5,2,71.4,,Dani Olmo
,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,Dani Olmo
