Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Pedri,MF
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,90.9,20,90,37,41.1,0.99,0.41,0.22,0.54,16.5,0,0,0,15.7,15.4,0.17,+4.3,+4.6,,Pedri,MF
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,4,43,14,32.6,1.37,0.45,0.09,0.29,20.7,0,0,0,2.7,2.7,0.06,+1.3,+1.3,,Pedri,MF
,,,,,,,,,,,,,,,,,,,,,,,,,Pedri,MF
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,90.9,20,90,37,41.1,0.99,0.41,0.22,0.54,16.5,0,0,0,15.7,15.4,0.17,+4.3,+4.6,,Pedri,MF
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,4,43,14,32.6,1.37,0.45,0.09,0.29,20.7,0,0,0,2.7,2.7,0.06,+1.3,+1.3,,Pedri,MF
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,0,1,0,0.0,0.48,0.0,0.0,,19.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Alejandro Balde,DF
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,17.9,0,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches,Alejandro Balde,DF
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,0,5,1,20.0,0.33,0.07,0.0,0.0,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Alejandro Balde,DF
2024-2025,20,Barcelona,es ESP,1. La Liga,3rd,14.3,0,6,1,16.7,0.42,0.07,0.0,0.0,19.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Alejandro Balde,DF
