Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,12.3,10,5,5,1,4,3,8,37.5,5,12,0,12,2,12,2,0,Riccardo Sottil,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,5.0,2,1,1,1,0,1,2,50.0,1,1,0,1,3,5,3,0,Riccardo Sottil,"FW,MF"
2016-2017,20,River Plate,ar ARG,1. Primera Div,2nd,18.9,26,20,19,7,0,18,23,78.3,5,25,10,15,51,77,110,1,Lucas Martínez Quarta,DF
2017-2018,21,River Plate,ar ARG,1. Liga Argentina,8th,9.0,8,6,7,1,0,6,10,60.0,4,9,6,3,17,25,51,1,Lucas Martínez Quarta,DF
2018-2019,22,River Plate,ar ARG,1. Liga Argentina,4th,16.7,41,27,31,7,3,23,31,74.2,8,26,7,19,45,86,94,2,Lucas Martínez Quarta,DF
2019-2020,23,River Plate,ar ARG,1. Liga Argentina,2nd,18.3,34,27,27,4,3,18,26,69.2,8,22,5,17,33,67,75,2,Lucas Martínez Quarta,DF
2020-2021,24,Fiorentina,it ITA,1. Serie A,13th,16.5,32,20,17,11,4,18,41,43.9,23,27,9,18,39,71,48,0,Lucas Martínez Quarta,DF
2021-2022,25,Fiorentina,it ITA,1. Serie A,7th,15.9,36,25,23,11,2,21,34,61.8,13,22,9,13,19,55,46,0,Lucas Martínez Quarta,DF
2022-2023,26,Fiorentina,it ITA,1. Serie A,8th,24.1,80,48,44,32,4,42,61,68.9,19,41,19,22,48,128,78,1,Lucas Martínez Quarta,DF
2023-2024,27,Fiorentina,it ITA,1. Serie A,8th,25.5,75,47,43,28,4,36,54,66.7,18,38,14,24,30,105,69,4,Lucas Martínez Quarta,DF
2024-2025,28,Fiorentina,it ITA,1. Serie A,4th,3.9,12,7,9,3,0,8,13,61.5,5,5,2,3,3,15,25,1,Lucas Martínez Quarta,DF
2014-2015,17,Genoa,it ITA,1. Serie A,6th,1.5,,,,,,,,,,,,,,,,,Rolando Mandragora,MF
2015-2016,18,Pescara,it ITA,2. Serie B,4th,20.0,,,,,,,,,,,,,,,,,Rolando Mandragora,MF
2016-2017,19,Juventus,it ITA,1. Serie A,1st,0.1,,0,,,,,,,,,,,0,,,,Rolando Mandragora,MF
2017-2018,20,Crotone,it ITA,1. Serie A,18th,36.0,91,60,48,34,9,26,69,37.7,43,41,13,28,86,177,75,0,Rolando Mandragora,MF
2018-2019,21,Udinese,it ITA,1. Serie A,12th,32.4,66,35,25,34,7,24,69,34.8,45,49,9,40,43,109,59,0,Rolando Mandragora,MF
2019-2020,22,Udinese,it ITA,1. Serie A,13th,22.8,47,24,15,25,7,15,55,27.3,40,30,5,25,26,73,25,0,Rolando Mandragora,MF
2020-2021,23,Udinese,it ITA,1. Serie A,14th,4.4,8,5,3,4,1,3,10,30.0,7,10,3,7,6,14,5,0,Rolando Mandragora,MF
2020-2021,23,Torino,it ITA,1. Serie A,17th,16.9,19,4,4,9,6,7,30,23.3,23,19,6,13,20,39,19,0,Rolando Mandragora,MF
2021-2022,24,Torino,it ITA,1. Serie A,10th,14.7,21,10,3,16,2,12,21,57.1,9,18,4,14,10,31,13,0,Rolando Mandragora,MF
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,21.7,42,24,12,22,8,23,52,44.2,29,25,3,22,16,58,21,0,Rolando Mandragora,MF
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,17.6,26,11,8,13,5,10,22,45.5,12,14,3,11,9,35,18,1,Rolando Mandragora,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,3.4,2,0,1,0,1,0,1,0.0,1,3,1,2,6,8,5,1,Rolando Mandragora,MF
2020-2021,18,Le Havre,fr FRA,2. Ligue 2,12th,1.0,7,6,4,3,0,3,6,50.0,3,3,0,3,1,8,3,0,Amir Richardson,MF
2021-2022,19,Le Havre,fr FRA,2. Ligue 2,8th,24.8,54,30,19,30,5,18,49,36.7,31,36,7,29,34,88,20,0,Amir Richardson,MF
2022-2023,20,Le Havre,fr FRA,2. Ligue 2,1st,26.5,54,36,18,24,12,26,59,44.1,33,23,4,19,31,85,17,1,Amir Richardson,MF
2023-2024,21,Reims,fr FRA,1. Ligue 1,9th,15.0,33,23,12,18,3,10,22,45.5,12,26,5,21,15,48,30,0,Amir Richardson,MF
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,4.0,11,4,7,4,0,2,6,33.3,4,3,0,3,1,12,11,1,Amir Richardson,MF
2011-2012,21,Catania,it ITA,1. Serie A,11th,2.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2013-2014,23,Avellino,it ITA,2. Serie B,11th,18.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2014-2015,24,Catania,it ITA,2. Serie B,22nd,6.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2015-2016,25,Salernitana,it ITA,2. Serie B,18th,31.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2016-2017,26,Salernitana,it ITA,2. Serie B,10th,21.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2017-2018,27,Empoli,it ITA,2. Serie B,1st,3.0,,0,,,,,,,,,,,0,,,,Pietro Terracciano,GK
2018-2019,28,Empoli,it ITA,1. Serie A,18th,8.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Pietro Terracciano,GK
2018-2019,28,Fiorentina,it ITA,1. Serie A,16th,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Pietro Terracciano,GK
2019-2020,29,Fiorentina,it ITA,1. Serie A,10th,6.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Pietro Terracciano,GK
2020-2021,30,Fiorentina,it ITA,1. Serie A,13th,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Pietro Terracciano,GK
2021-2022,31,Fiorentina,it ITA,1. Serie A,7th,31.8,0,0,0,0,0,0,4,0.0,4,0,0,0,2,2,20,1,Pietro Terracciano,GK
2022-2023,32,Fiorentina,it ITA,1. Serie A,8th,29.0,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,14,0,Pietro Terracciano,GK
2023-2024,33,Fiorentina,it ITA,1. Serie A,8th,33.0,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,8,0,Pietro Terracciano,GK
2024-2025,34,Fiorentina,it ITA,1. Serie A,4th,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Pietro Terracciano,GK
2015-2016,18,Jong PSV,nl NED,2. Eerste Divisie,11th,8.8,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2016-2017,19,Jong PSV,nl NED,2. Eerste Divisie,4th,29.1,,0,,,,,,,,,,,0,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,Jong PSV,nl NED,2. Eerste Divisie,5th,13.3,,0,,,,,,,,,,,0,,,,Albert Guðmundsson,"MF,FW"
2017-2018,20,PSV Eindhoven,nl NED,1. Eredivisie,1st,2.0,,0,,,,,,,,,,,0,,,,Albert Guðmundsson,"MF,FW"
2018-2019,21,AZ Alkmaar,nl NED,1. Eredivisie,4th,14.5,22,12,3,15,4,7,33,21.2,26,19,2,17,9,31,5,0,Albert Guðmundsson,"MF,FW"
2019-2020,22,Jong AZ,nl NED,2. Eerste Divisie,14th,3.0,,1,,,,,,,,,,,0,,,,Albert Guðmundsson,"MF,FW"
2019-2020,22,AZ Alkmaar,nl NED,1. Eredivisie,2nd,1.3,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0,Albert Guðmundsson,"MF,FW"
2020-2021,23,AZ Alkmaar,nl NED,1. Eredivisie,3rd,21.8,20,6,5,11,4,7,35,20.0,28,8,1,7,16,36,3,0,Albert Guðmundsson,"MF,FW"
