Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2024-2025,28,Fiorentina,it ITA,1. Serie A,4th,3.9,1,0,0,8,2,0,0,3,7,0,0,0,13,12,10,54.5,Lucas Martínez Quarta,DF
2014-2015,17,Genoa,it ITA,1. Serie A,6th,1.5,0,0,,4,,,,,,,,,,,,,Rolando Mandragora,MF
2015-2016,18,Pescara,it ITA,2. Serie B,4th,20.0,10,0,,,,,,,,,,,,,,,Rolando Mandragora,MF
2016-2017,19,Juventus,it ITA,1. Serie A,1st,0.1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,Rolando Mandragora,MF
2017-2018,20,Crotone,it ITA,1. Serie A,18th,36.0,8,0,0,54,58,2,42,86,60,0,1,0,213,64,70,47.8,Rolando Mandragora,MF
2018-2019,21,Udinese,it ITA,1. Serie A,12th,32.4,8,1,0,46,40,1,49,43,35,0,0,0,154,49,45,52.1,Rolando Mandragora,MF
2019-2020,22,Udinese,it ITA,1. Serie A,13th,22.8,2,0,0,40,22,1,51,26,24,0,0,0,114,20,20,50.0,Rolando Mandragora,MF
2020-2021,23,Udinese,it ITA,1. Serie A,14th,4.4,0,0,0,5,4,0,6,6,5,0,1,0,14,6,2,75.0,Rolando Mandragora,MF
2020-2021,23,Torino,it ITA,1. Serie A,17th,16.9,5,1,1,32,30,1,36,20,4,0,0,0,85,9,8,52.9,Rolando Mandragora,MF
2021-2022,24,Torino,it ITA,1. Serie A,10th,14.7,7,1,1,25,22,1,47,10,10,0,0,0,87,16,20,44.4,Rolando Mandragora,MF
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,21.7,8,0,0,31,18,1,74,16,24,0,0,0,121,35,23,60.3,Rolando Mandragora,MF
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,17.6,5,0,0,26,24,0,34,9,11,0,0,0,60,31,39,44.3,Rolando Mandragora,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,3.4,3,0,0,6,9,0,3,6,0,0,0,0,10,4,0,100.0,Rolando Mandragora,MF
2020-2021,18,Le Havre,fr FRA,2. Ligue 2,12th,1.0,0,0,0,2,1,0,0,1,6,0,0,0,3,0,0,,Amir Richardson,MF
2021-2022,19,Le Havre,fr FRA,2. Ligue 2,8th,24.8,6,0,0,57,22,1,3,34,30,0,0,0,141,25,21,54.3,Amir Richardson,MF
