Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,10,7,616,6.8,2,4,6,1,1,1,1,0,2.2,1.4,1.0,2.4,11,27,35,0.29,0.58,0.88,0.15,0.73,0.32,0.14,0.46,0.20,0.34,Lucas Beltrán,"MF,FW"
2017-2018,17,Paris S-G,fr FRA,1. Ligue 1,1st,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Yacine Adli,MF
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7,2,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,13,17,17,0.00,0.00,0.00,0.00,0.00,0.01,0.34,0.34,0.01,0.34,Yacine Adli,MF
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,21,11,1020,11.3,3,3,6,3,0,0,3,0,0.8,0.8,2.2,3.0,38,65,47,0.26,0.26,0.53,0.26,0.53,0.07,0.19,0.26,0.07,0.26,Yacine Adli,MF
2020-2021,20,Bordeaux,fr FRA,1. Ligue 1,12th,35,25,2418,26.9,2,5,7,2,0,0,6,0,1.9,1.9,4.4,6.3,54,188,48,0.07,0.19,0.26,0.07,0.26,0.07,0.16,0.23,0.07,0.23,Yacine Adli,MF
2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,36,25,2260,25.1,1,7,8,1,0,0,5,0,2.0,2.0,5.7,7.7,66,164,99,0.04,0.28,0.32,0.04,0.32,0.08,0.23,0.31,0.08,0.31,Yacine Adli,MF
2022-2023,22,Milan,it ITA,1. Serie A,4th,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.22,0.05,0.22,Yacine Adli,MF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,Yacine Adli,MF
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,12,6,560,6.2,2,3,5,2,0,0,1,0,0.1,0.1,1.2,1.3,10,45,13,0.32,0.48,0.80,0.32,0.80,0.02,0.19,0.21,0.02,0.21,Yacine Adli,MF
2016-2017,18,Cittadella,it ITA,2. Serie B,6th,15,4,533,5.9,2,2,4,2,0,0,4,0,,,,,,,,0.34,0.34,0.68,0.34,0.68,,,,,,Christian Kouamé,"FW,MF"
2017-2018,19,Cittadella,it ITA,2. Serie B,6th,40,30,2614,29.0,11,7,18,10,1,1,3,0,,,,,,,,0.38,0.24,0.62,0.34,0.59,,,,,,Christian Kouamé,"FW,MF"
2018-2019,20,Genoa,it ITA,1. Serie A,17th,38,33,3066,34.1,4,5,9,4,0,0,4,0,8.0,8.0,5.3,13.2,74,67,271,0.12,0.15,0.26,0.12,0.26,0.23,0.16,0.39,0.23,0.39,Christian Kouamé,"FW,MF"
2019-2020,21,Genoa,it ITA,1. Serie A,17th,11,10,915,10.2,5,2,7,5,0,0,1,0,1.8,1.8,1.0,2.8,13,26,76,0.49,0.20,0.69,0.49,0.69,0.17,0.10,0.28,0.17,0.28,Christian Kouamé,"FW,MF"
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,7,3,301,3.3,1,1,2,1,0,0,0,0,1.1,1.1,0.2,1.3,7,7,22,0.30,0.30,0.60,0.30,0.60,0.32,0.06,0.37,0.32,0.37,Christian Kouamé,"FW,MF"
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,33,9,995,11.1,1,1,2,1,0,0,4,0,3.2,3.2,1.2,4.3,12,16,86,0.09,0.09,0.18,0.09,0.18,0.29,0.10,0.39,0.29,0.39,Christian Kouamé,"FW,MF"
2021-2022,23,Anderlecht,be BEL,1. First Division A,3rd,25,24,2004,22.3,8,3,11,8,0,0,3,1,8.8,8.8,6.7,15.6,42,55,217,0.36,0.13,0.49,0.36,0.49,0.40,0.30,0.70,0.40,0.70,Christian Kouamé,"FW,MF"
