Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2022-2023,20,Le Havre,fr FRA,2. Ligue 2,1st,26.5,45,1.70,34,0,4,3,3,1,8,0.30,6,0,1,0,0,1,Amir Richardson,MF
2023-2024,21,Reims,fr FRA,1. Ligue 1,9th,15.0,29,1.93,24,0,0,4,0,1,1,0.07,1,0,0,0,0,0,Amir Richardson,MF
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,4.0,9,2.24,7,0,1,0,1,0,2,0.50,1,0,0,0,1,0,Amir Richardson,MF
2011-2012,21,Catania,it ITA,1. Serie A,11th,2.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2013-2014,23,Avellino,it ITA,2. Serie B,11th,18.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2014-2015,24,Catania,it ITA,2. Serie B,22nd,6.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2015-2016,25,Salernitana,it ITA,2. Serie B,18th,31.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2016-2017,26,Salernitana,it ITA,2. Serie B,10th,21.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2017-2018,27,Empoli,it ITA,2. Serie B,1st,3.0,,,,,,,,,,,,,,,,,Pietro Terracciano,GK
2018-2019,28,Empoli,it ITA,1. Serie A,18th,8.0,3,0.37,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Pietro Terracciano,GK
2018-2019,28,Fiorentina,it ITA,1. Serie A,16th,2.0,1,0.50,1,0,0,0,0,0,1,0.50,1,0,0,0,0,0,Pietro Terracciano,GK
2019-2020,29,Fiorentina,it ITA,1. Serie A,10th,6.9,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Pietro Terracciano,GK
2020-2021,30,Fiorentina,it ITA,1. Serie A,13th,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Pietro Terracciano,GK
2021-2022,31,Fiorentina,it ITA,1. Serie A,7th,31.8,3,0.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Pietro Terracciano,GK
2022-2023,32,Fiorentina,it ITA,1. Serie A,8th,29.0,4,0.14,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Pietro Terracciano,GK
2023-2024,33,Fiorentina,it ITA,1. Serie A,8th,33.0,4,0.12,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Pietro Terracciano,GK
2024-2025,34,Fiorentina,it ITA,1. Serie A,4th,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Pietro Terracciano,GK
2015-2016,18,Jong PSV,nl NED,2. Eerste Divisie,11th,8.8,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
2016-2017,19,Jong PSV,nl NED,2. Eerste Divisie,4th,29.1,,,,,,,,,,,,,,,,,Albert Guðmundsson,"MF,FW"
