Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.1,4,0,0,9,16,0,17,11,19,0,0,0,41,17,10,63.0,Neco Williams,DF
2012-2013,17,Southampton,eng ENG,1. Premier League,14th,5.5,0,0,,3,,,,,,,,,,,,,James Ward-Prowse,MF
2013-2014,18,Southampton,eng ENG,1. Premier League,8th,17.9,3,0,,21,,,,,,,,,,,,,James Ward-Prowse,MF
2014-2015,19,Southampton,eng ENG,1. Premier League,7th,16.4,0,1,,19,,,,,,,,,,,,,James Ward-Prowse,MF
2015-2016,20,Southampton,eng ENG,1. Premier League,6th,17.2,5,0,,21,,,,,,,,,,,,,James Ward-Prowse,MF
2016-2017,21,Southampton,eng ENG,1. Premier League,8th,20.9,4,0,0,27,18,1,144,19,21,0,0,0,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,1,0,0,,,,,,,,,0,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,1. Premier League,17th,19.1,3,0,0,18,12,0,159,8,16,0,0,0,98,21,47,30.9,James Ward-Prowse,MF
2018-2019,23,Southampton,eng ENG,1. Premier League,16th,21.6,4,0,0,22,10,3,145,27,17,0,1,1,112,21,47,30.9,James Ward-Prowse,MF
2019-2020,24,Southampton,eng ENG,1. Premier League,11th,38.0,9,0,0,57,43,0,267,60,48,1,0,0,249,69,64,51.9,James Ward-Prowse,MF
2020-2021,25,Southampton,eng ENG,1. Premier League,15th,38.0,5,0,0,45,27,0,251,42,49,0,1,0,288,47,64,42.3,James Ward-Prowse,MF
2021-2022,26,Southampton,eng ENG,1. Premier League,15th,35.7,3,1,0,22,15,0,302,40,24,0,0,0,259,27,34,44.3,James Ward-Prowse,MF
2022-2023,27,Southampton,eng ENG,1. Premier League,20th,37.5,6,0,0,34,19,0,241,55,37,0,0,1,222,44,52,45.8,James Ward-Prowse,MF
2023-2024,28,Southampton,eng ENG,2. Championship,4th,1.0,0,0,0,0,0,0,12,1,0,0,0,0,3,2,1,66.7,James Ward-Prowse,MF
2023-2024,28,West Ham,eng ENG,1. Premier League,9th,33.3,4,0,0,24,20,0,189,38,29,0,0,0,145,26,33,44.1,James Ward-Prowse,MF
2024-2025,29,West Ham,eng ENG,1. Premier League,14th,0.2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,James Ward-Prowse,MF
2024-2025,29,Nott'ham Forest,eng ENG,1. Premier League,3rd,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,4,42.9,James Ward-Prowse,MF
2022-2023,22,Vitória,pt POR,1. Primeira Liga,6th,17.8,8,0,0,33,52,14,53,9,23,1,0,0,92,34,47,42.0,Jota Silva,"FW,MF"
2023-2024,23,Vitória,pt POR,1. Primeira Liga,5th,30.9,7,0,0,47,56,37,70,17,18,0,0,0,117,57,61,48.3,Jota Silva,"FW,MF"
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,6.0,3,0,0,15,17,4,14,10,5,1,0,0,32,14,17,45.2,Jota Silva,"FW,MF"
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13th,2.9,1,0,0,6,5,0,1,7,17,0,0,0,,,,,Ibrahim Sangaré,MF
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18th,17.6,5,0,0,39,22,0,15,24,47,0,1,0,145,28,25,52.8,Ibrahim Sangaré,MF
2018-2019,20,Toulouse,fr FRA,1. Ligue 1,16th,27.4,7,0,0,51,39,2,11,29,66,0,0,0,251,39,29,57.4,Ibrahim Sangaré,MF
