Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,40.8,8,51,17,33.3,1.25,0.42,0.16,0.47,16.4,0,0,0,7.2,7.2,0.14,+0.8,+0.8,Ryan Yates,MF
2022-2023,24,Nott'ham Forest,eng ENG,1. Premier League,16th,20.4,0,26,5,19.2,1.27,0.24,0.00,0.00,16.8,0,0,0,2.3,2.3,0.09,-2.3,-2.3,Ryan Yates,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,22.1,1,32,7,21.9,1.45,0.32,0.03,0.14,18.2,0,0,0,2.6,2.6,0.08,-1.6,-1.6,Ryan Yates,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.5,1,23,6,26.1,1.58,0.41,0.04,0.17,17.8,0,0,0,1.7,1.7,0.07,-0.7,-0.7,Ryan Yates,MF
2018-2019,16,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,0.3,0,,,,,,,,,,0,0,,,,,,Anthony Elanga,"FW,MF"
2019-2020,17,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,2nd,4.6,0,,,,,,,,,,0,0,,,,,,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,1. Premier League,2nd,1.7,1,2,1,50.0,1.16,0.58,0.50,1.00,11.9,0,0,0,0.4,0.4,0.22,+0.6,+0.6,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,8th,15.6,9,,,,,,,,,,0,0,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,6th,8.0,4,,,,,,,,,,1,1,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,1. Premier League,6th,13.5,2,21,7,33.3,1.56,0.52,0.10,0.29,15.7,0,0,0,2.6,2.6,0.12,-0.6,-0.6,Anthony Elanga,"FW,MF"
2022-2023,20,Manchester Utd,eng ENG,1. Premier League,3rd,4.7,0,10,4,40.0,2.11,0.85,0.00,0.00,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Anthony Elanga,"FW,MF"
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,27.0,5,54,22,40.7,2.00,0.81,0.09,0.23,16.2,0,0,0,6.6,6.6,0.12,-1.6,-1.6,Anthony Elanga,"FW,MF"
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,11.6,3,19,9,47.4,1.63,0.77,0.16,0.33,16.7,1,0,0,2.0,2.0,0.10,+1.0,+1.0,Anthony Elanga,"FW,MF"
2016-2017,18,Vélez Sarsfield,ar ARG,1. Primera Div,19th,8.0,1,10,2,20.0,1.26,0.25,0.10,0.50,25.3,1,0,0,0.0,0.0,0.00,+1.0,+1.0,Nicolás Domínguez,"MF,FW"
2017-2018,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,14th,20.5,0,30,10,33.3,1.46,0.49,0.00,0.00,24.8,0,0,0,1.7,1.7,0.06,-1.7,-1.7,Nicolás Domínguez,"MF,FW"
2018-2019,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,6th,24.4,3,37,10,27.0,1.52,0.41,0.08,0.30,18.6,0,0,0,3.6,3.2,0.09,-0.6,-0.2,Nicolás Domínguez,"MF,FW"
2019-2020,21,Vélez Sarsfield,ar ARG,1. Liga Argentina,3rd,13.7,5,21,8,38.1,1.53,0.58,0.24,0.63,18.4,0,0,0,2.6,2.6,0.13,+2.4,+2.4,Nicolás Domínguez,"MF,FW"
