Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2024-2025,31,Nott'ham Forest,eng ENG,1. Premier League,3rd,8.8,10,1.14,10,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Álex Moreno,DF
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.0,,,,,,,,,,,,,,,,,Neco Williams,DF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,8.0,,,,,,,,,,,,,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,8.5,,,,,,,,,,,,,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,2.6,6,2.35,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Neco Williams,DF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,2.8,3,1.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Neco Williams,DF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,0.1,2,22.50,1,0,1,0,0,0,2,22.50,1,0,1,0,0,0,Neco Williams,DF
2021-2022,20,Fulham,eng ENG,2. Championship,1st,13.2,31,2.34,23,2,2,2,2,0,5,0.38,3,0,0,2,0,0,Neco Williams,DF
2022-2023,21,Nott'ham Forest,eng ENG,1. Premier League,16th,20.9,39,1.86,23,4,4,2,3,3,2,0.10,1,0,0,1,0,0,Neco Williams,DF
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,18.2,31,1.70,23,1,1,4,1,1,4,0.22,3,0,1,0,0,0,Neco Williams,DF
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.1,21,2.08,16,0,0,4,1,0,2,0.20,2,0,0,0,0,0,Neco Williams,DF
2012-2013,17,Southampton,eng ENG,1. Premier League,14th,5.5,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2013-2014,18,Southampton,eng ENG,1. Premier League,8th,17.9,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2014-2015,19,Southampton,eng ENG,1. Premier League,7th,16.4,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2015-2016,20,Southampton,eng ENG,1. Premier League,6th,17.2,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2016-2017,21,Southampton,eng ENG,1. Premier League,8th,20.9,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,1. Premier League,17th,19.1,60,3.15,32,23,0,5,0,0,7,0.37,3,3,0,1,0,0,James Ward-Prowse,MF
2018-2019,23,Southampton,eng ENG,1. Premier League,16th,21.6,72,3.33,32,30,0,2,3,5,3,0.14,2,0,0,0,0,1,James Ward-Prowse,MF
2019-2020,24,Southampton,eng ENG,1. Premier League,11th,38.0,116,3.05,53,49,1,7,2,4,6,0.16,2,2,0,1,1,0,James Ward-Prowse,MF
2020-2021,25,Southampton,eng ENG,1. Premier League,15th,38.0,105,2.76,53,46,0,3,3,0,12,0.32,5,7,0,0,0,0,James Ward-Prowse,MF
