Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2022-2023,29,Betis,es ESP,1. La Liga,6th,15.0,29,22,19,10,0,18,36,50.0,18,17,4,13,17,46,39,0,Álex Moreno,DF
2022-2023,29,Aston Villa,eng ENG,1. Premier League,7th,14.8,23,14,15,5,3,13,36,36.1,23,18,3,15,7,30,37,2,Álex Moreno,DF
2023-2024,30,Aston Villa,eng ENG,1. Premier League,4th,11.5,18,12,18,0,0,12,19,63.2,7,11,2,9,13,31,37,0,Álex Moreno,DF
2024-2025,31,Nott'ham Forest,eng ENG,1. Premier League,3rd,8.8,24,18,19,5,0,14,34,41.2,20,9,4,5,14,38,32,0,Álex Moreno,DF
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.0,,,,,,,,,,,,,,,,,Neco Williams,DF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,8.0,,,,,,,,,,,,,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,8.5,,,,,,,,,,,,,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,2.6,5,3,1,3,1,4,5,80.0,1,3,1,2,9,14,6,0,Neco Williams,DF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,2.8,6,5,4,2,0,5,9,55.6,4,3,1,2,6,12,6,0,Neco Williams,DF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Neco Williams,DF
2021-2022,20,Fulham,eng ENG,2. Championship,1st,13.2,37,19,16,16,5,21,37,56.8,16,16,4,12,18,55,28,1,Neco Williams,DF
2022-2023,21,Nott'ham Forest,eng ENG,1. Premier League,16th,20.9,72,47,49,17,6,38,71,53.5,33,33,8,25,33,105,48,0,Neco Williams,DF
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,17th,18.2,69,40,42,18,9,35,56,62.5,21,44,13,31,22,91,53,0,Neco Williams,DF
2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.1,30,19,24,5,1,15,28,53.6,13,15,3,12,11,41,39,0,Neco Williams,DF
2012-2013,17,Southampton,eng ENG,1. Premier League,14th,5.5,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2013-2014,18,Southampton,eng ENG,1. Premier League,8th,17.9,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2014-2015,19,Southampton,eng ENG,1. Premier League,7th,16.4,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2015-2016,20,Southampton,eng ENG,1. Premier League,6th,17.2,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2016-2017,21,Southampton,eng ENG,1. Premier League,8th,20.9,,21,,,,,,,,,,,19,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,Jr. PL2 — Div. 2,6th,2.0,,,,,,,,,,,,,,,,,James Ward-Prowse,MF
2017-2018,22,Southampton,eng ENG,1. Premier League,17th,19.1,23,16,9,11,3,3,27,11.1,24,29,1,28,8,31,31,0,James Ward-Prowse,MF
2018-2019,23,Southampton,eng ENG,1. Premier League,16th,21.6,36,17,19,13,4,14,43,32.6,29,30,6,24,27,63,59,0,James Ward-Prowse,MF
2019-2020,24,Southampton,eng ENG,1. Premier League,11th,38.0,92,48,39,39,14,39,94,41.5,55,48,14,34,60,152,75,1,James Ward-Prowse,MF
2020-2021,25,Southampton,eng ENG,1. Premier League,15th,38.0,75,49,30,41,4,29,70,41.4,41,36,4,32,42,117,60,0,James Ward-Prowse,MF
2021-2022,26,Southampton,eng ENG,1. Premier League,15th,35.7,41,24,12,24,5,19,70,27.1,51,43,15,28,40,81,45,1,James Ward-Prowse,MF
2022-2023,27,Southampton,eng ENG,1. Premier League,20th,37.5,65,37,31,27,7,21,61,34.4,40,30,10,20,55,120,48,0,James Ward-Prowse,MF
2023-2024,28,Southampton,eng ENG,2. Championship,4th,1.0,1,0,0,1,0,0,0,,0,1,1,0,1,2,2,0,James Ward-Prowse,MF
2023-2024,28,West Ham,eng ENG,1. Premier League,9th,33.3,45,29,14,23,8,18,44,40.9,26,31,9,22,38,83,49,0,James Ward-Prowse,MF
2024-2025,29,West Ham,eng ENG,1. Premier League,14th,0.2,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,James Ward-Prowse,MF
2024-2025,29,Nott'ham Forest,eng ENG,1. Premier League,3rd,4.4,4,1,1,3,0,2,2,100.0,0,3,2,1,5,9,8,0,James Ward-Prowse,MF
2022-2023,22,Vitória,pt POR,1. Primeira Liga,6th,17.8,40,23,14,17,9,16,42,38.1,26,29,2,27,9,49,13,0,Jota Silva,"FW,MF"
2023-2024,23,Vitória,pt POR,1. Primeira Liga,5th,30.9,35,18,12,14,9,11,43,25.6,32,34,2,32,17,52,28,0,Jota Silva,"FW,MF"
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,6.0,12,5,6,5,1,2,15,13.3,13,5,1,4,10,22,10,0,Jota Silva,"FW,MF"
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13th,2.9,,17,,,,,,,,,,,7,,,,Ibrahim Sangaré,MF
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18th,17.6,72,47,35,34,3,29,69,42.0,40,33,7,26,24,96,19,1,Ibrahim Sangaré,MF
2018-2019,20,Toulouse,fr FRA,1. Ligue 1,16th,27.4,102,66,50,44,8,32,63,50.8,31,52,20,32,29,131,49,2,Ibrahim Sangaré,MF
2019-2020,21,Toulouse,fr FRA,1. Ligue 1,20th,24.2,84,54,37,42,5,33,74,44.6,41,28,10,18,39,123,49,4,Ibrahim Sangaré,MF
2020-2021,22,Toulouse,fr FRA,2. Ligue 2,3rd,2.0,8,5,2,6,0,5,9,55.6,4,1,1,0,5,13,3,0,Ibrahim Sangaré,MF
2020-2021,22,PSV Eindhoven,nl NED,1. Eredivisie,2nd,25.3,101,69,43,47,11,36,59,61.0,23,37,8,29,61,162,47,1,Ibrahim Sangaré,MF
