Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2021-2022,15,Nürnberg U17,de GER,Jr. U17 Bundesliga,14th,18.5,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,0.0,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg U19,de GER,Jr. U19 Bundesliga,8th,14.2,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg,de GER,2. 2. Bundesliga,14th,0.8,34,34,0,0,0,0,0,0,0,0,0,0,27,0,1,Can Uzun,"MF,FW"
2023-2024,17,Nürnberg,de GER,2. 2. Bundesliga,12th,22.1,712,658,47,10,10,3,8,4,3,1,1,0,560,7,14,Can Uzun,"MF,FW"
2024-2025,18,Eint Frankfurt,de GER,1. Bundesliga,3rd,2.7,107,104,3,0,1,0,9,0,3,0,1,0,83,0,4,Can Uzun,"MF,FW"
2022-2023,17,Angers,fr FRA,1. Ligue 1,20th,3.0,82,81,1,0,0,0,2,0,1,0,0,0,69,0,2,Jean Mattéo Bahoya,"MF,DF"
2023-2024,18,Angers,fr FRA,2. Ligue 2,2nd,8.0,296,286,6,1,1,1,6,4,0,0,0,0,234,4,8,Jean Mattéo Bahoya,"MF,DF"
2023-2024,18,Eint Frankfurt,de GER,1. Bundesliga,6th,2.0,82,80,2,0,0,0,6,2,0,0,0,0,62,0,2,Jean Mattéo Bahoya,"MF,DF"
2024-2025,19,Eint Frankfurt,de GER,1. Bundesliga,3rd,2.4,85,81,4,0,1,1,7,3,1,0,0,0,63,0,2,Jean Mattéo Bahoya,"MF,DF"
2023-2024,18,FC Copenhagen,dk DEN,1. Danish Superliga,3rd,4.4,,,,,,,3,,,,,,,,,Oscar Højlund,MF
2024-2025,19,Eint Frankfurt,de GER,1. Bundesliga,3rd,1.6,80,79,1,1,0,0,1,0,0,0,0,0,70,0,1,Oscar Højlund,MF
2021-2022,18,Young Boys,ch SUI,1. Super Lg,3rd,2.3,,,,,,,1,,,,,,,,,Aurele Amenda,DF
2022-2023,19,Young Boys,ch SUI,1. Super Lg,1st,11.8,,,,,,,1,,,,,,,,,Aurele Amenda,DF
2023-2024,20,Young Boys,ch SUI,1. Super Lg,1st,20.7,,,,,,,3,,,,,,,,,Aurele Amenda,DF
