Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2020-2021,19,Everton,eng ENG,1. Premier League,10th,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Niels Nkounkou,"DF,MF"
2021-2022,20,Standard Liège,be BEL,1. First Division A,14th,17.4,26,1.49,16,4,2,0,1,3,1,0.06,0,0,0,0,0,1,Niels Nkounkou,"DF,MF"
2022-2023,21,Cardiff City,eng ENG,2. Championship,21st,13.6,20,1.47,18,0,2,0,0,0,4,0.29,4,0,0,0,0,0,Niels Nkounkou,"DF,MF"
2022-2023,21,Saint-Étienne,fr FRA,2. Ligue 2,8th,18.7,67,3.59,44,4,6,6,4,3,13,0.70,8,0,4,0,1,0,Niels Nkounkou,"DF,MF"
2023-2024,22,Saint-Étienne,fr FRA,2. Ligue 2,3rd,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Niels Nkounkou,"DF,MF"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,14.5,45,3.09,28,6,8,1,0,2,4,0.27,3,1,0,0,0,0,Niels Nkounkou,"DF,MF"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.4,13,3.85,8,3,1,0,0,1,1,0.30,0,1,0,0,0,0,Niels Nkounkou,"DF,MF"
2014-2015,18,Gladbach,de GER,1. Bundesliga,3rd,0.0,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,23.0,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,25.3,,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2017-2018,21,Dortmund,de GER,1. Bundesliga,4th,12.7,41,3.22,32,1,4,2,0,2,9,0.71,7,0,2,0,0,0,Mahmoud Dahoud,MF
2018-2019,22,Dortmund,de GER,1. Bundesliga,2nd,7.7,19,2.45,17,0,1,0,1,0,3,0.39,3,0,0,0,0,0,Mahmoud Dahoud,MF
2019-2020,23,Dortmund,de GER,1. Bundesliga,2nd,6.2,16,2.59,14,0,1,1,0,0,3,0.48,3,0,0,0,0,0,Mahmoud Dahoud,MF
2020-2021,24,Dortmund,de GER,1. Bundesliga,3rd,14.0,35,2.50,27,0,3,3,1,1,6,0.43,5,0,0,0,0,1,Mahmoud Dahoud,MF
2021-2022,25,Dortmund,de GER,1. Bundesliga,2nd,18.4,52,2.82,43,4,3,0,0,2,6,0.33,5,0,0,0,0,1,Mahmoud Dahoud,MF
2022-2023,26,Dortmund,de GER,1. Bundesliga,2nd,3.7,6,1.60,5,0,0,1,0,0,1,0.27,0,0,0,1,0,0,Mahmoud Dahoud,MF
2023-2024,27,Stuttgart,de GER,1. Bundesliga,2nd,2.5,11,4.36,10,1,0,0,0,0,1,0.40,1,0,0,0,0,0,Mahmoud Dahoud,MF
2023-2024,27,Brighton,eng ENG,1. Premier League,11th,5.0,13,2.59,13,0,0,0,0,0,2,0.40,2,0,0,0,0,0,Mahmoud Dahoud,MF
2024-2025,28,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,12,3.38,9,0,0,2,0,1,2,0.56,1,0,0,0,0,1,Mahmoud Dahoud,MF
2019-2020,18,Le Havre,fr FRA,2. Ligue 2,6th,19.6,56,2.85,35,2,12,1,3,3,1,0.05,1,0,0,0,0,0,Junior Dina Ebimbe,"MF,FW"
2020-2021,19,Dijon,fr FRA,1. Ligue 1,20th,23.8,65,2.73,49,0,8,5,3,0,3,0.13,2,0,0,1,0,0,Junior Dina Ebimbe,"MF,FW"
2021-2022,20,Paris S-G,fr FRA,1. Ligue 1,1st,3.5,4,1.14,4,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Junior Dina Ebimbe,"MF,FW"
2022-2023,21,Eint Frankfurt,de GER,1. Bundesliga,7th,11.8,17,1.44,12,1,1,3,0,0,1,0.08,1,0,0,0,0,0,Junior Dina Ebimbe,"MF,FW"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,21.7,54,2.48,38,0,8,5,2,1,6,0.28,6,0,0,0,0,0,Junior Dina Ebimbe,"MF,FW"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.1,6,1.93,2,0,0,2,2,0,1,0.32,1,0,0,0,0,0,Junior Dina Ebimbe,"MF,FW"
2018-2019,15,St. Pauli U17,de GER,Jr. U17 Bundesliga,18th,15.7,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U17,de GER,Jr. U17 Bundesliga,25th,4.7,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2019-2020,16,St. Pauli U19,de GER,Jr. U19 Bundesliga,24th,4.9,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli U19,de GER,Jr. U19 Bundesliga,12th,1.3,,,,,,,,,,,,,,,,,Igor Matanovic,"FW,MF"
2020-2021,17,St. Pauli,de GER,2. 2. Bundesliga,10th,4.4,12,2.72,8,0,1,3,0,0,0,0.00,0,0,0,0,0,0,Igor Matanovic,"FW,MF"
2021-2022,18,St. Pauli,de GER,2. 2. Bundesliga,5th,6.1,20,3.25,11,1,4,2,2,0,4,0.65,3,0,1,0,0,0,Igor Matanovic,"FW,MF"
2022-2023,19,St. Pauli,de GER,2. 2. Bundesliga,5th,6.9,16,2.32,9,0,0,3,3,1,1,0.14,0,0,0,0,1,0,Igor Matanovic,"FW,MF"
2023-2024,20,Karlsruher,de GER,2. 2. Bundesliga,5th,25.8,76,2.95,49,0,10,8,5,4,11,0.43,6,0,3,1,1,0,Igor Matanovic,"FW,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.2,8,2.49,3,1,1,3,0,0,1,0.31,0,0,0,1,0,0,Igor Matanovic,"FW,MF"
2020-2021,14,Nürnberg U17,de GER,Jr. U17 Bundesliga,7th,3.2,,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U17,de GER,Jr. U17 Bundesliga,14th,18.5,,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2021-2022,15,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,0.0,,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg U19,de GER,Jr. U19 Bundesliga,8th,14.2,,,,,,,,,,,,,,,,,Can Uzun,"MF,FW"
2022-2023,16,Nürnberg,de GER,2. 2. Bundesliga,14th,0.8,8,9.60,6,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Can Uzun,"MF,FW"
