Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2020-2021,16,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,3.0,,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2021-2022,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,11.7,,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.0,,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund II,de GER,3. 3. Liga,13th,6.6,,,,,,,,,,,,,,,0,,,,,,,,,Nnamdi Collins,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,1.0,61,75,81.3,1011,387,23,26,88.5,35,39,89.7,2,7,28.6,0,0.0,0.1,0.0,0,8,0,0,13,Nnamdi Collins,DF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,156,195,80.0,2720,726,65,75,86.7,76,90,84.4,13,25,52.0,1,0.9,0.7,+0.1,1,9,1,0,15,Nnamdi Collins,DF
2020-2021,19,Everton,eng ENG,Jr. PL2 — Div. 1,5th,3.8,,,,,,,,,,,,,,,0,,,,,,,,,Niels Nkounkou,"DF,MF"
2020-2021,19,Everton,eng ENG,1. Premier League,10th,0.9,29,36,80.6,459,98,18,18,100.0,9,13,69.2,2,4,50.0,0,0.0,0.0,0.0,0,3,0,0,2,Niels Nkounkou,"DF,MF"
2021-2022,20,Standard Liège,be BEL,1. First Division A,14th,17.4,680,989,68.8,13377,5764,265,321,82.6,323,419,77.1,87,221,39.4,0,0.7,0.9,-0.7,8,73,8,1,85,Niels Nkounkou,"DF,MF"
2022-2023,21,Cardiff City,eng ENG,2. Championship,21st,13.6,480,715,67.1,9122,4043,218,258,84.5,193,288,67.0,62,134,46.3,1,0.6,1.3,+0.4,5,49,17,2,57,Niels Nkounkou,"DF,MF"
2022-2023,21,Saint-Étienne,fr FRA,2. Ligue 2,8th,18.7,525,773,67.9,9676,3813,227,291,78.0,228,311,73.3,61,121,50.4,7,6.4,3.3,+0.6,34,54,25,6,72,Niels Nkounkou,"DF,MF"
2023-2024,22,Saint-Étienne,fr FRA,2. Ligue 2,3rd,1.0,32,45,71.1,634,225,14,18,77.8,14,16,87.5,4,8,50.0,0,0.0,0.0,0.0,0,2,1,0,5,Niels Nkounkou,"DF,MF"
