Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alisson,GK
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alisson,GK
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,28.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alisson,GK
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,8.4,0,0,0,0.1,0.1,0.09,+0.9,+0.9,Alisson,GK
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alisson,GK
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alisson,GK
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alisson,GK
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,10.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Alisson,GK
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.5,0,,,,,,,,,,0,0,,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,12.0,4,,,,,,,,,,0,0,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,13.1,9,,,,,,,,,,0,0,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,1.4,1,6,2,33.3,4.29,1.43,0.17,0.50,17.4,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Curtis Jones,MF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,13.1,1,19,9,47.4,1.45,0.69,0.05,0.11,19.4,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Curtis Jones,MF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,9.5,1,20,7,35.0,2.12,0.74,0.05,0.14,23.2,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,0.5,0,,,,,,,,,,0,0,,,,,,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,1. Premier League,5th,11.5,3,15,5,33.3,1.30,0.43,0.20,0.60,17.9,0,0,0,1.2,1.2,0.08,+1.8,+1.8,Curtis Jones,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,13.0,1,19,5,26.3,1.47,0.39,0.05,0.20,16.2,0,0,0,2.6,2.6,0.14,-1.6,-1.6,Curtis Jones,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,9.7,3,19,10,52.6,1.97,1.04,0.16,0.30,15.6,0,0,0,2.9,2.9,0.15,+0.1,+0.1,Curtis Jones,MF
2019-2020,20,Almería,es ESP,2. La Liga 2,4th,26.9,16,77,33,42.9,2.86,1.23,0.14,0.33,14.6,2,5,5,17.9,14.0,0.18,-1.9,-3.0,Darwin Núñez,FW
2020-2021,21,Benfica,pt POR,1. Primeira Liga,3rd,19.9,6,58,22,37.9,2.91,1.11,0.10,0.27,16.1,1,0,0,10.0,10.0,0.17,-4.0,-4.0,Darwin Núñez,FW
2021-2022,22,Benfica,pt POR,1. Primeira Liga,3rd,22.0,26,81,38,46.9,3.69,1.73,0.27,0.58,16.2,2,4,4,18.4,15.2,0.19,+7.6,+6.8,Darwin Núñez,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,18.8,9,84,35,41.7,4.46,1.86,0.11,0.26,15.1,0,0,0,11.6,11.6,0.14,-2.6,-2.6,Darwin Núñez,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,22.7,11,107,46,43.0,4.70,2.02,0.10,0.24,15.0,0,0,1,16.3,15.5,0.15,-5.3,-4.5,Darwin Núñez,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.4,2,21,8,38.1,2.50,0.95,0.10,0.25,14.7,0,0,0,2.5,2.5,0.12,-0.5,-0.5,Darwin Núñez,FW
2014-2015,17,Paços,pt POR,1. Primeira Liga,8th,7.1,2,,5,,,0.71,,0.40,,,0,0,,,,,,Diogo Jota,FW
2015-2016,18,Paços,pt POR,1. Primeira Liga,7th,30.6,12,,28,,,0.92,,0.43,,,0,0,,,,,,Diogo Jota,FW
2016-2017,19,Porto,pt POR,1. Primeira Liga,2nd,16.1,8,0,27,,0.00,1.67,,0.30,,,0,0,,,,,,Diogo Jota,FW
2017-2018,20,Wolves,eng ENG,2. Championship,1st,40.1,17,119,51,42.9,2.97,1.27,0.13,0.31,,,1,1,,,,,,Diogo Jota,FW
