Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33.0,1000,1157,86.4,22600,14023,223,225,99.1,578,590,98.0,191,330,57.9,0,0.0,0.0,0.0,0,4,1,0,1,Alisson,GK
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36.0,1214,1388,87.5,28439,18286,275,276,99.6,686,699,98.1,249,409,60.9,1,0.2,0.0,+0.8,1,16,1,0,1,Alisson,GK
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37.0,1241,1453,85.4,29043,18696,307,309,99.4,657,666,98.6,273,469,58.2,1,0.3,0.0,+0.7,1,16,0,0,3,Alisson,GK
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28.0,985,1142,86.3,21428,13147,238,239,99.6,597,607,98.4,147,284,51.8,0,0.0,0.0,0.0,1,8,0,0,5,Alisson,GK
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,10.9,291,344,84.6,5897,3597,91,91,100.0,167,169,98.8,32,81,39.5,0,0.6,0.2,-0.6,1,5,0,0,0,Alisson,GK
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.5,,,,,,,,,,,,,,,0,,,,,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,12.0,,,,,,,,,,,,,,,0,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,13.1,,,,,,,,,,,,,,,3,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,1.4,107,123,87.0,1491,355,58,65,89.2,36,41,87.8,5,6,83.3,0,0.0,0.1,0.0,0,11,1,0,9,Curtis Jones,MF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,13.1,900,983,91.6,12828,2687,534,569,93.8,280,294,95.2,41,53,77.4,2,1.5,1.4,+0.5,12,87,23,1,89,Curtis Jones,MF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,9.5,538,599,89.8,8198,1811,289,305,94.8,204,219,93.2,31,44,70.5,1,0.6,0.5,+0.4,11,53,10,1,58,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,0.5,,,,,,,,,,,,,,,0,,,,,,,,,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,1. Premier League,5th,11.5,611,677,90.3,9160,1895,334,355,94.1,233,250,93.2,25,32,78.1,1,1.1,1.4,-0.1,14,53,14,1,69,Curtis Jones,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,13.0,707,776,91.1,10366,2136,405,428,94.6,257,278,92.4,22,30,73.3,1,0.7,1.1,+0.3,11,64,14,1,74,Curtis Jones,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,9.7,486,517,94.0,7034,1415,275,282,97.5,182,193,94.3,15,22,68.2,2,0.3,0.4,+1.7,9,35,8,0,52,Curtis Jones,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Caoimhín Kelleher,GK
