Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2015-2016,23,Fiorentina,it ITA,1. Serie A,5th,26.6,,,,,,,,,,,,,,,,,Matías Vecino,MF
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,26.2,,45,,,,,,,,,,,30,,,,Matías Vecino,MF
2017-2018,25,Inter,it ITA,1. Serie A,4th,23.7,54,34,15,30,9,19,49,38.8,30,28,6,22,20,74,31,0,Matías Vecino,MF
2018-2019,26,Inter,it ITA,1. Serie A,4th,22.4,50,39,18,23,9,26,53,49.1,27,38,9,29,17,67,22,0,Matías Vecino,MF
2019-2020,27,Inter,it ITA,1. Serie A,2nd,14.2,31,20,14,11,6,9,36,25.0,27,20,3,17,15,46,26,0,Matías Vecino,MF
2020-2021,28,Inter,it ITA,1. Serie A,1st,3.1,1,1,0,0,1,0,5,0.0,5,7,1,6,4,5,3,0,Matías Vecino,MF
2021-2022,29,Inter,it ITA,1. Serie A,2nd,4.2,7,5,2,3,2,3,9,33.3,6,10,1,9,4,11,7,0,Matías Vecino,MF
2022-2023,30,Lazio,it ITA,1. Serie A,2nd,18.8,47,27,13,23,11,23,48,47.9,25,33,10,23,16,63,39,1,Matías Vecino,MF
2023-2024,31,Lazio,it ITA,1. Serie A,7th,12.8,32,17,12,20,0,20,31,64.5,11,17,5,12,12,44,21,0,Matías Vecino,MF
2024-2025,32,Lazio,it ITA,1. Serie A,4th,5.4,8,6,1,6,1,3,13,23.1,10,5,2,3,5,13,6,0,Matías Vecino,MF
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,0.2,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,3.9,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,23.2,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,23.6,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,18.0,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
