Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2023-2024,31,Lazio,it ITA,1. Serie A,7th,12.8,909,28,177,555,183,42,909,14,10,71.4,4,28.6,453,2292,1139,16,17,2,19,1,663,43,Matías Vecino,MF
2024-2025,32,Lazio,it ITA,1. Serie A,4th,5.4,276,9,53,169,55,18,276,0,0,,0,,142,660,254,1,6,1,5,6,191,7,Matías Vecino,MF
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,0.2,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,3.9,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,23.2,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,23.6,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,18.0,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,23.0,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,26.1,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,17.3,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2015-2016,28,Chelsea,eng ENG,1. Premier League,10th,22.6,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2016-2017,29,Chelsea,eng ENG,1. Premier League,1st,23.8,,,,,,,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2017-2018,30,Chelsea,eng ENG,1. Premier League,5th,16.9,890,8,104,387,415,53,890,51,33,64.7,18,35.3,599,4237,2077,66,45,18,39,26,694,135,Pedro,"FW,MF"
2018-2019,31,Chelsea,eng ENG,1. Premier League,3rd,19.8,1328,21,152,511,675,101,1328,59,44,74.6,15,25.4,924,5465,2380,63,53,18,31,33,1139,202,Pedro,"FW,MF"
2019-2020,32,Chelsea,eng ENG,1. Premier League,4th,7.3,431,4,49,208,182,35,431,21,12,57.1,9,42.9,310,1792,793,24,19,9,18,9,320,52,Pedro,"FW,MF"
2020-2021,33,Roma,it ITA,1. Serie A,7th,17.7,774,8,73,382,331,45,774,40,26,65.0,14,35.0,508,3455,1496,50,45,7,45,11,622,122,Pedro,"FW,MF"
